EmployeeID,FirstName,LastName,Department,Position,Salary,JoiningDate,Country
118,Mike,Johnson,Finance,Accountant,78184,2016-08-20,Australia
120,James,Brown,Finance,Accountant,65327,2011-08-20,Australia
425,Robert,Davis,Finance,Accountant,70473,2023-05-07,Australia
451,Robert,Smith,Finance,Accountant,94604,2019-09-28,Australia
544,John,Johnson,Finance,Accountant,96097,2017-03-26,Australia
155,Sara,Lopez,Marketing,Content Strategist,55943,2019-02-25,Australia
162,David,Garcia,Marketing,Content Strategist,82755,2012-01-07,Australia
197,Emily,Clark,Marketing,Content Strategist,84569,2013-03-21,Australia
267,Mike,Wilson,Marketing,Content Strategist,96005,2018-12-10,Australia
268,James,Doe,Marketing,Content Strategist,62463,2014-01-27,Australia
613,David,Lopez,Marketing,Content Strategist,71802,2019-10-08,Australia
658,Sara,Brown,Marketing,Content Strategist,53105,2017-08-15,Australia
70,Jane,Martinez,Support,Customer Support Specialist,61320,2011-05-29,Australia
189,Robert,Davis,Support,Customer Support Specialist,67096,2016-01-25,Australia
527,Sara,Brown,Support,Customer Support Specialist,96415,2018-08-08,Australia
580,Robert,Davis,Support,Customer Support Specialist,95611,2019-11-05,Australia
134,Robert,Garcia,Engineering,Data Scientist,81907,2023-02-08,Australia
245,Emily,Doe,Engineering,Data Scientist,90541,2010-06-08,Australia
713,Mary,Brown,Engineering,Data Scientist,59140,2020-04-04,Australia
524,James,Johnson,Engineering,DevOps Engineer,78408,2011-04-09,Australia
588,Jane,Martinez,Engineering,DevOps Engineer,57595,2021-07-04,Australia
790,Mike,Doe,Engineering,DevOps Engineer,75252,2017-11-05,Australia
864,John,Davis,Engineering,DevOps Engineer,82121,2015-09-14,Australia
455,Mary,Brown,Finance,Financial Analyst,95718,2014-01-12,Australia
612,Linda,Martinez,Finance,Financial Analyst,77880,2011-06-04,Australia
702,Sara,Garcia,Finance,Financial Analyst,78560,2018-08-09,Australia
775,Emily,Clark,Finance,Financial Analyst,94526,2020-02-15,Australia
786,James,Johnson,Finance,Financial Analyst,70674,2020-10-13,Australia
858,Robert,Johnson,Finance,Financial Analyst,96931,2022-03-12,Australia
866,Emily,Smith,Finance,Financial Analyst,51284,2015-07-13,Australia
901,David,Doe,Finance,Financial Analyst,65936,2012-08-28,Australia
920,Linda,Lopez,Finance,Financial Analyst,51679,2019-10-07,Australia
950,David,Clark,Finance,Financial Analyst,95485,2021-07-25,Australia
30,Robert,Wilson,Design,Graphic Designer,78520,2021-11-05,Australia
77,Emily,Brown,Design,Graphic Designer,75662,2014-05-01,Australia
194,Jane,Brown,Design,Graphic Designer,63423,2011-12-02,Australia
205,John,Wilson,Design,Graphic Designer,75771,2022-03-29,Australia
379,Emily,Wilson,Design,Graphic Designer,48194,2016-07-05,Australia
80,Mary,Clark,HR,HR Specialist,85591,2016-08-19,Australia
151,Linda,Lopez,HR,HR Specialist,87367,2013-03-22,Australia
642,Robert,Martinez,HR,HR Specialist,98459,2020-12-07,Australia
859,Jane,Wilson,HR,HR Specialist,75274,2014-08-08,Australia
926,Emily,Johnson,HR,HR Specialist,81963,2019-12-22,Australia
993,Robert,Johnson,HR,HR Specialist,68844,2023-02-19,Australia
138,Jane,Clark,IT,IT Support Specialist,89643,2018-11-01,Australia
141,Linda,Johnson,IT,IT Support Specialist,96031,2017-04-30,Australia
536,Mary,Doe,IT,IT Support Specialist,77177,2013-06-19,Australia
625,Jane,Johnson,IT,IT Support Specialist,81069,2017-08-17,Australia
922,Jane,Smith,IT,IT Support Specialist,61818,2017-01-18,Australia
968,Robert,Smith,IT,IT Support Specialist,53445,2018-03-27,Australia
93,Linda,Clark,Marketing,Marketing Manager,93739,2010-06-18,Australia
230,Jane,Wilson,Marketing,Marketing Manager,75590,2019-07-23,Australia
700,David,Doe,Marketing,Marketing Manager,51443,2013-07-21,Australia
741,Sara,Martinez,Marketing,Marketing Manager,88305,2010-04-01,Australia
21,John,Clark,HR,Recruiter,55407,2022-06-30,Australia
204,Robert,Doe,HR,Recruiter,78981,2022-10-07,Australia
318,Mike,Smith,HR,Recruiter,64459,2013-02-06,Australia
415,James,Brown,HR,Recruiter,49060,2022-07-11,Australia
449,Linda,Lopez,HR,Recruiter,58307,2020-09-22,Australia
498,Mike,Davis,HR,Recruiter,86957,2018-03-26,Australia
560,Jane,Brown,HR,Recruiter,68749,2013-09-20,Australia
719,John,Wilson,HR,Recruiter,61511,2013-08-02,Australia
846,David,Martinez,HR,Recruiter,81793,2010-05-12,Australia
885,Linda,Wilson,HR,Recruiter,53237,2012-06-22,Australia
976,Emily,Garcia,HR,Recruiter,72393,2013-02-15,Australia
90,Mike,Brown,Sales,Sales Executive,51763,2012-10-16,Australia
421,Robert,Martinez,Sales,Sales Executive,67938,2012-01-07,Australia
465,Mary,Wilson,Sales,Sales Executive,83408,2013-07-07,Australia
499,Mike,Brown,Sales,Sales Executive,55536,2018-10-22,Australia
501,Emily,Johnson,Sales,Sales Executive,48669,2014-09-25,Australia
528,Linda,Smith,Sales,Sales Executive,88446,2010-05-28,Australia
577,John,Garcia,Sales,Sales Executive,73516,2015-02-15,Australia
655,Mary,Lopez,Sales,Sales Executive,95063,2013-01-19,Australia
745,David,Doe,Sales,Sales Executive,50275,2016-12-20,Australia
879,Linda,Johnson,Sales,Sales Executive,95753,2014-02-19,Australia
886,David,Johnson,Sales,Sales Executive,52839,2014-02-16,Australia
927,Linda,Doe,Sales,Sales Executive,51293,2021-11-01,Australia
997,Mary,Brown,Sales,Sales Executive,52414,2018-05-14,Australia
244,Linda,Garcia,Sales,Sales Manager,63185,2011-02-02,Australia
289,Emily,Lopez,Sales,Sales Manager,67539,2021-05-10,Australia
652,Emily,Clark,Sales,Sales Manager,67540,2011-08-02,Australia
748,Linda,Smith,Sales,Sales Manager,88295,2021-03-14,Australia
912,James,Brown,Sales,Sales Manager,95007,2017-09-13,Australia
