CustomerName,CurrencyName,TransactionAmount,TransactionCategory
Kriti,Hongkong Dollar,14,Low Value
Mohan,Hongkong Dollar,14,Low Value
Mohan,Hongkong Dollar,14,Low Value
Ram,Hongkong Dollar,28,Low Value
Manoj,Hongkong Dollar,56,Medium Value
Shiv,Hongkong Dollar,56,Medium Value
Ram,Hongkong Dollar,70,Medium Value
Ram,Hongkong Dollar,84,Medium Value
Kriti,Hongkong Dollar,84,Medium Value
Shiv,Hongkong Dollar,98,Medium Value
Kriti,Hongkong Dollar,98,Medium Value
Shiv,Hongkong Dollar,98,Medium Value
Ram,Hongkong Dollar,112,High Value
Kriti,Hongkong Dollar,126,High Value
Kriti,Hongkong Dollar,154,High Value
Ram,Hongkong Dollar,196,High Value
Shiv,Hongkong Dollar,196,High Value
Manoj,Hongkong Dollar,210,High Value
Kriti,Hongkong Dollar,210,High Value
Kriti,Hongkong Dollar,210,High Value
Shiv,Hongkong Dollar,210,High Value
Ram,Hongkong Dollar,238,High Value
Mohan,Hongkong Dollar,238,High Value
Kriti,Hongkong Dollar,238,High Value
Ram,Hongkong Dollar,252,High Value
Shiv,Hongkong Dollar,252,High Value
Kriti,Hongkong Dollar,266,High Value
Manoj,Hongkong Dollar,280,High Value
Mohan,Hongkong Dollar,308,High Value
Ram,Hongkong Dollar,308,High Value
Ram,Hongkong Dollar,322,High Value
Manoj,Hongkong Dollar,322,High Value
Mohan,Hongkong Dollar,336,High Value
Kriti,Hongkong Dollar,336,High Value
Mohan,Hongkong Dollar,350,High Value
Shiv,Hongkong Dollar,350,High Value
Ram,Hongkong Dollar,350,High Value
Shiv,Hongkong Dollar,378,High Value
Manoj,Hongkong Dollar,378,High Value
Mohan,Hongkong Dollar,378,High Value
Shiv,Hongkong Dollar,392,High Value
Shiv,Hongkong Dollar,392,High Value
Kriti,Hongkong Dollar,406,High Value
Ram,Hongkong Dollar,406,High Value
Ram,Hongkong Dollar,406,High Value
Shiv,Hongkong Dollar,406,High Value
Ram,Hongkong Dollar,406,High Value
Manoj,Hongkong Dollar,420,High Value
Manoj,Hongkong Dollar,420,High Value
Shiv,Hongkong Dollar,420,High Value
Manoj,Hongkong Dollar,434,High Value
Shiv,Hongkong Dollar,448,High Value
Kriti,Hongkong Dollar,462,High Value
Shiv,Hongkong Dollar,462,High Value
Manoj,Hongkong Dollar,462,High Value
Manoj,Hongkong Dollar,476,High Value
Ram,Hongkong Dollar,476,High Value
Manoj,Hongkong Dollar,476,High Value
Kriti,Hongkong Dollar,490,High Value
Manoj,Hongkong Dollar,490,High Value
Kriti,Hongkong Dollar,490,High Value
Kriti,Hongkong Dollar,490,High Value
Shiv,Hongkong Dollar,490,High Value
Kriti,Hongkong Dollar,504,High Value
Ram,Hongkong Dollar,504,High Value
Manoj,Hongkong Dollar,504,High Value
Shiv,Hongkong Dollar,504,High Value
Manoj,Hongkong Dollar,504,High Value
Ram,Hongkong Dollar,532,High Value
Manoj,Hongkong Dollar,532,High Value
Ram,Hongkong Dollar,546,High Value
Ram,Hongkong Dollar,560,High Value
Shiv,Hongkong Dollar,574,High Value
Ram,Hongkong Dollar,574,High Value
Manoj,Hongkong Dollar,574,High Value
Kriti,Hongkong Dollar,588,High Value
Ram,Hongkong Dollar,602,High Value
Mohan,Hongkong Dollar,602,High Value
Kriti,Hongkong Dollar,616,High Value
Ram,Hongkong Dollar,616,High Value
Ram,Hongkong Dollar,630,High Value
Manoj,Hongkong Dollar,630,High Value
Manoj,Hongkong Dollar,630,High Value
Kriti,Hongkong Dollar,630,High Value
Ram,Hongkong Dollar,630,High Value
Kriti,Hongkong Dollar,644,High Value
Kriti,Hongkong Dollar,644,High Value
Kriti,Hongkong Dollar,644,High Value
Ram,Hongkong Dollar,644,High Value
Kriti,Hongkong Dollar,672,High Value
Mohan,Hongkong Dollar,672,High Value
Ram,Hongkong Dollar,686,High Value
Shiv,Hongkong Dollar,714,High Value
Shiv,Hongkong Dollar,714,High Value
Kriti,Hongkong Dollar,714,High Value
Mohan,Hongkong Dollar,714,High Value
Ram,Hongkong Dollar,728,High Value
Kriti,Hongkong Dollar,728,High Value
Kriti,Hongkong Dollar,728,High Value
Kriti,Hongkong Dollar,728,High Value
Shiv,Hongkong Dollar,728,High Value
Ram,Hongkong Dollar,742,High Value
Shiv,Hongkong Dollar,742,High Value
Shiv,Hongkong Dollar,756,High Value
Manoj,Hongkong Dollar,756,High Value
Kriti,Hongkong Dollar,756,High Value
Mohan,Hongkong Dollar,770,High Value
Ram,Hongkong Dollar,770,High Value
Mohan,Hongkong Dollar,798,High Value
Manoj,Hongkong Dollar,798,High Value
Mohan,Hongkong Dollar,798,High Value
Shiv,Hongkong Dollar,798,High Value
Manoj,Hongkong Dollar,798,High Value
Ram,Hongkong Dollar,812,High Value
Manoj,Hongkong Dollar,854,High Value
Shiv,Hongkong Dollar,854,High Value
Shiv,Hongkong Dollar,854,High Value
Mohan,Hongkong Dollar,868,High Value
Ram,Hongkong Dollar,868,High Value
Mohan,Hongkong Dollar,868,High Value
Ram,Hongkong Dollar,882,High Value
Mohan,Hongkong Dollar,882,High Value
Manoj,Hongkong Dollar,882,High Value
Mohan,Hongkong Dollar,896,High Value
Kriti,Hongkong Dollar,910,High Value
Manoj,Hongkong Dollar,910,High Value
Shiv,Hongkong Dollar,910,High Value
Manoj,Hongkong Dollar,924,High Value
Kriti,Hongkong Dollar,924,High Value
Kriti,Hongkong Dollar,952,High Value
Mohan,Hongkong Dollar,952,High Value
Kriti,Hongkong Dollar,952,High Value
Kriti,Hongkong Dollar,966,High Value
Kriti,Hongkong Dollar,966,High Value
Shiv,Hongkong Dollar,966,High Value
Manoj,Hongkong Dollar,966,High Value
Manoj,Hongkong Dollar,1008,High Value
Kriti,Hongkong Dollar,1022,High Value
Shiv,Hongkong Dollar,1036,High Value
Ram,Hongkong Dollar,1036,High Value
Ram,Hongkong Dollar,1036,High Value
Ram,Hongkong Dollar,1050,High Value
Shiv,Hongkong Dollar,1064,High Value
Ram,Hongkong Dollar,1064,High Value
Manoj,Hongkong Dollar,1078,High Value
Shiv,Hongkong Dollar,1092,High Value
Mohan,Hongkong Dollar,1092,High Value
Ram,Hongkong Dollar,1092,High Value
Shiv,Hongkong Dollar,1106,High Value
Shiv,Hongkong Dollar,1120,High Value
Manoj,Hongkong Dollar,1120,High Value
Mohan,Hongkong Dollar,1134,High Value
Kriti,Hongkong Dollar,1148,High Value
Kriti,Hongkong Dollar,1162,High Value
Kriti,Hongkong Dollar,1162,High Value
Shiv,Hongkong Dollar,1162,High Value
Shiv,Hongkong Dollar,1176,High Value
Manoj,Hongkong Dollar,1204,High Value
Shiv,Hongkong Dollar,1232,High Value
Ram,Hongkong Dollar,1232,High Value
Manoj,Hongkong Dollar,1232,High Value
Ram,Hongkong Dollar,1246,High Value
Shiv,Hongkong Dollar,1260,High Value
Mohan,Hongkong Dollar,1260,High Value
Shiv,Hongkong Dollar,1274,High Value
Ram,Hongkong Dollar,1274,High Value
Manoj,Hongkong Dollar,1274,High Value
Kriti,Hongkong Dollar,1288,High Value
Manoj,Hongkong Dollar,1288,High Value
Kriti,Hongkong Dollar,1302,High Value
Shiv,Hongkong Dollar,1302,High Value
Shiv,Hongkong Dollar,1316,High Value
Shiv,Hongkong Dollar,1316,High Value
Kriti,Hongkong Dollar,1344,High Value
Shiv,Hongkong Dollar,1344,High Value
Manoj,Hongkong Dollar,1344,High Value
Shiv,Hongkong Dollar,1358,High Value
Mohan,Hongkong Dollar,1358,High Value
Kriti,Hongkong Dollar,1358,High Value
Mohan,Hongkong Dollar,1372,High Value
Shiv,Hongkong Dollar,1386,High Value
Shiv,Hongkong Dollar,1400,High Value
Manoj,Hongkong Dollar,1414,High Value
Kriti,Hongkong Dollar,1414,High Value
Manoj,Hongkong Dollar,1414,High Value
Manoj,Hongkong Dollar,1428,High Value
Shiv,Hongkong Dollar,1428,High Value
Manoj,Hongkong Dollar,1442,High Value
Mohan,Hongkong Dollar,1442,High Value
Shiv,Hongkong Dollar,1442,High Value
Kriti,Hongkong Dollar,1456,High Value
Kriti,Hongkong Dollar,1470,High Value
Ram,Hongkong Dollar,1484,High Value
Manoj,Hongkong Dollar,1512,High Value
Mohan,Hongkong Dollar,1512,High Value
Kriti,Hongkong Dollar,1526,High Value
Shiv,Hongkong Dollar,1526,High Value
Kriti,Hongkong Dollar,1568,High Value
Kriti,Hongkong Dollar,1568,High Value
Ram,Hongkong Dollar,1582,High Value
Manoj,Hongkong Dollar,1596,High Value
Kriti,Hongkong Dollar,1610,High Value
Manoj,Hongkong Dollar,1624,High Value
Kriti,Hongkong Dollar,1624,High Value
Kriti,Hongkong Dollar,1624,High Value
Shiv,Hongkong Dollar,1624,High Value
Shiv,Hongkong Dollar,1652,High Value
Manoj,Hongkong Dollar,1652,High Value
Shiv,Hongkong Dollar,1666,High Value
Ram,Hongkong Dollar,1666,High Value
Kriti,Hongkong Dollar,1666,High Value
Manoj,Hongkong Dollar,1666,High Value
Kriti,Hongkong Dollar,1680,High Value
Manoj,Hongkong Dollar,1680,High Value
Ram,Hongkong Dollar,1680,High Value
Ram,Hongkong Dollar,1680,High Value
Mohan,Hongkong Dollar,1680,High Value
Kriti,Hongkong Dollar,1694,High Value
